movie_title,director_name,budget,content_rating,duration,actor_1_name,actor_2_name,actor_3_name,gross,genres,plot_keywords,imdb_score
Edward Scissorhands ,Tim Burton,20000000,PG-13,105,Johnny Depp,Dianne Wiest,Conchata Ferrell,56362352,Fantasy|Romance,creation|inventor|magical realism|scissors|suburb,7.9
Eight Legged Freaks ,Ellory Elkayem,30000000,PG-13,99,Scarlett Johansson,Doug E. Doug,Riley Smith,17266505,Action|Comedy|Horror,creature feature|human versus spider|spider|spider feature|woman sheriff,5.4
Elizabethtown ,Cameron Crowe,57000000,PG-13,123,Orlando Bloom,Kirsten Dunst,Judy Greer,26838389,Comedy|Drama|Romance,flight|flight attendant|kentucky|shoes|travel,6.4
Employee of the Month ,Greg Coolidge,12000000,PG-13,103,Dane Cook,Danny Woodburn,Jessica Simpson,28435406,Comedy|Romance,competition|date|employee|laser in eyes|slacker,5.5
End of the Spear ,Jim Hanon,10000000,PG-13,108,Chase Ellison,Chad Allen,Jack Guzman,11703287,Adventure|Drama,death|missionary|spear|speared to death|tribe,7
Ender's Game ,Gavin Hood,110000000,PG-13,114,Harrison Ford,Moises Arias,Aramis Knight,61656849,Action|Sci-Fi,alien|future|manipulation|simulation|training,6.7
Endless Love ,Shana Feste,20000000,PG-13,104,Alex Pettyfer,Bruce Greenwood,Rhys Wakefield,23393765,Drama|Romance,brother sister relationship|high school graduation|love|sparkler|unfaithful husband,6.3
Enough Said ,Nicole Holofcener,8000000,PG-13,93,Christopher Nicholas Smith,Ben Falcone,Michaela Watkins,17536788,Comedy|Drama|Romance,dating|divorcee|ex husband|ex wife|party,7.1
Enough ,Michael Apted,38000000,PG-13,115,Bill Cobbs,Jeff Kober,Billy Campbell,39177215,Crime|Drama|Thriller,abusive husband|escape|intimate partner homicide|marriage|woman wearing only a man's shirt,5.6
Entrapment ,Jon Amiel,66000000,PG-13,113,Will Patton,Kevin McNally,Maury Chaykin,87704396,Action|Crime|Romance|Thriller,art thief|insurance|mask|master thief|reference to iron maiden,6.2
Envy ,Barry Levinson,40000000,PG-13,99,Amy Poehler,Ariel Gade,Sam Lerner,12181484,Comedy,best friend|dog|envy|jealousy|neighbor,4.8
Epic Movie ,Jason Friedberg,20000000,PG-13,93,David Carradine,Carmen Electra,Fred Willard,39737645,Adventure|Comedy,chocolate|chocolate factory|factory|orphan|student,2.3
Ever After: A Cinderella Story ,Andy Tennant,26000000,PG-13,121,Anjelica Huston,Dougray Scott,Jeanne Moreau,65703412,Comedy|Drama|Romance,based on fairy tale|bechdel test passed|cinderella|fairy tale|leonardo da vinci,7
Everybody's Fine ,Kirk Jones,21000000,PG-13,99,Robert De Niro,James Frain,Brendan Sexton III,8855646,Adventure|Drama,bus trip|parental love|retirement|surprise visit|train ride,7.2
Extremely Loud & Incredibly Close ,Stephen Daldry,40000000,PG-13,129,Tom Hanks,Thomas Horn,Stephen Henderson,31836745,Adventure|Drama|Mystery,fear|mourning|mute|quest|revelation,6.9
Eye of the Dolphin ,Michael D. Sellers,2500000,PG-13,100,Katharine Ross,Carly Schroeder,George Harris,71904,Comedy|Drama|Family,dolphin|island|research|tourist|town,5.7
Failure to Launch ,Tom Dey,50000000,PG-13,95,Bradley Cooper,Matthew McConaughey,Zooey Deschanel,88658172,Comedy|Romance,friend|intervention|moving|secret|slacker,5.6
Fair Game ,Doug Liman,22000000,PG-13,108,Naomi Watts,Ty Burrell,Brooke Smith,9528092,Biography|Drama|Thriller,bush administration|cia|interview|iraq|new york times,6.8
Fantastic Four ,Josh Trank,120000000,PG-13,100,Tim Blake Nelson,Reg E. Cathey,Tim Heidecker,56114221,Action|Adventure|Sci-Fi,box office flop|critically bashed|portal|teleportation|troubled production,4.3
Far from Heaven ,Todd Haynes,13500000,PG-13,107,Dennis Quaid,Celia Weston,Michael Gaston,15854988,Drama|Romance,african american|catastrophe|family relationships|farewell scene|therapy,7.4
Fast Five ,Justin Lin,125000000,PG-13,132,Paul Walker,Vin Diesel,Dwayne Johnson,209805005,Action|Crime|Thriller,drug lord|drugs|federal agent|heist|police,7.3
Fever Pitch ,Bobby Farrelly,30000000,PG-13,104,Jimmy Fallon,KaDee Strickland,Ione Skye,42071069,Comedy|Drama|Romance|Sport,baltimore orioles|boston red sox|promotion|ups|world series,6.2
Final Fantasy: The Spirits Within ,Hironobu Sakaguchi,137000000,PG-13,106,Steve Buscemi,Ming-Na Wen,Jean Simmons,32131830,Action|Adventure|Animation|Fantasy|Romance|Sci-Fi,general|military|scientist|soldier|year 2065,6.4
Finding Forrester ,Gus Van Sant,43000000,PG-13,136,F. Murray Abraham,Rob Brown,Michael Nouri,51768623,Drama,basketball|mentor|new york|school|writing,7.3
Firewall ,Richard Loncraine,50000000,PG-13,105,Jimmy Bennett,Harrison Ford,Mary Lynn Rajskub,48745150,Crime|Thriller,architect|bank|cayman islands|meeting|murder,5.8
First Knight ,Jerry Zucker,55000000,PG-13,134,Julia Ormond,Ben Cross,John Gielgud,37600435,Action|Adventure|Romance|Thriller,battle|king|king arthur|knight|marriage,5.9
Flash of Genius ,Marc Abraham,20000000,PG-13,119,Dylan Authors,Bill Lake,Victoria Learn,4234040,Biography|Drama,flash of genius|genius|intellectual property|professor|university,7
Flight of the Intruder ,John Milius,35000000,PG-13,115,Rosanna Arquette,Dann Florek,Christopher Rich,14587732,Action|Drama|Thriller|War,bombardier|pilot|u.s. navy|vietnam|vietnam war,5.7
Flight of the Phoenix ,John Moore,45000000,PG-13,113,Dennis Quaid,Tony Curran,Miranda Otto,21009180,Action|Adventure|Drama|Thriller,captain|desert|rescue|stranded|survivor,6.1
Flightplan ,Robert Schwentke,55000000,PG-13,98,Erika Christensen,Michael Irby,Haley Ramm,89706988,Drama|Mystery|Thriller,captain|flight|flight attendant|plane|search,6.2
Fool's Gold ,Andy Tennant,70000000,PG-13,112,Matthew McConaughey,Ray Winstone,Alexis Dziena,70224196,Action|Adventure|Comedy|Romance|Thriller,debt|rapper|treasure|treasure hunter|yacht,5.6
For Love of the Game ,Sam Raimi,50000000,PG-13,137,J.K. Simmons,Kelly Preston,Carmine Giovinazzo,35168395,Drama|Romance|Sport,baseball|baseball movie|detroit tigers|perfect game|pitcher,6.5
For Your Consideration ,Christopher Guest,12000000,PG-13,86,John Michael Higgins,Catherine O'Hara,Ed Begley Jr.,5542025,Comedy,actor|internet|make up|publicist|purim,6.3
Forrest Gump ,Robert Zemeckis,55000000,PG-13,142,Tom Hanks,Siobhan Fallon Hogan,Sam Anderson,329691196,Comedy|Drama,amputee|love|vietnam|vietnam war|war hero,8.8
Freakonomics ,Heidi Ewing,3000000,PG-13,93,Greg Crowe,James Ransone,Tempestt Bledsoe,100675,Documentary,cheating|economics|experiment|human nature|sumo wrestling,6.4
Freeheld ,Peter Sollett,7000000,PG-13,103,Steve Carell,Josh Charles,Luke Grimes,532988,Biography|Drama|Romance,cancer|gay bar|lesbian kiss|partner|public hearing,6.5
Frequency ,Gregory Hoblit,31000000,PG-13,118,Dennis Quaid,Andre Braugher,Noah Emmerich,44983704,Crime|Drama|Mystery|Sci-Fi|Thriller,altering history|alternate history|amateur radio|ham radio|paranormal phenomena,7.3
Fun Size ,Josh Schwartz,14000000,PG-13,86,Thomas McDonell,Jackson Nicoll,Osric Chau,9402410,Adventure|Comedy,adult humor|best friend|friend|halloween|teenage girl,5.4
Fun with Dick and Jane ,Dean Parisot,100000000,PG-13,90,John Michael Higgins,Richard Burgi,David Herman,110332737,Comedy|Crime,animal abuse|ceo|heist|suburb|unemployment,6.1
Furious 7 ,James Wan,190000000,PG-13,140,Jason Statham,Paul Walker,Vin Diesel,350034110,Action|Crime|Thriller,car falling off a cliff|hospital|revenge|star died before release|terrorist,7.2
G.I. Joe: Retaliation ,Jon M. Chu,130000000,PG-13,122,Channing Tatum,Dwayne Johnson,Elodie Yung,122512052,Action|Adventure|Sci-Fi|Thriller,general|gi joe|martial arts|ninja|president,5.8
G.I. Joe: The Rise of Cobra ,Stephen Sommers,175000000,PG-13,118,Joseph Gordon-Levitt,Dennis Quaid,Leo Howard,150167630,Action|Adventure|Sci-Fi|Thriller,cobra|gi joe|snake|train|warhead,5.8
Gattaca ,Andrew Niccol,36000000,PG-13,106,Blair Underwood,Xander Berkeley,Mason Gamble,12339633,Drama|Sci-Fi|Thriller,accident|future|genetics|mission|police,7.8
Get Low ,Aaron Schneider,7500000,PG-13,100,Bill Murray,Robert Duvall,Bill Cobbs,9176553,Drama|Mystery,funeral|funeral home|hermit|party|secret,7.1
Get on Up ,Tate Taylor,30000000,PG-13,139,Tika Sumpter,Josh Hopkins,Aunjanue Ellis,30513940,Biography|Drama|Music,1970s|1980s|african american|breaking the fourth wall|mother son relationship,6.9
Get Over It ,Tommy O'Haver,22000000,PG-13,87,Mila Kunis,Kirsten Dunst,Carmen Electra,11560259,Comedy|Romance,basketball|dancer|high school|love triangle|shakespeare's a midsummer night's dream,5.8
Get Smart ,Peter Segal,80000000,PG-13,110,Bill Murray,Dwayne Johnson,Anne Hathaway,130313314,Action|Adventure|Comedy,airplane|misunderstanding|obese woman|overweight woman|spy,6.5
Getaway ,Courtney Solomon,18000000,PG-13,90,Rebecca Budig,Paul Freeman,Bruce Payne,10494494,Action|Crime|Thriller,die hard scenario|earth viewed from space|race against time|race car driver|title at the end,4.4
Ghost Rider: Spirit of Vengeance ,Mark Neveldine,57000000,PG-13,96,Nicolas Cage,Spencer Wilding,Christopher Lambert,51774002,Action|Fantasy|Thriller,deal with the devil|devil|eastern europe|ghost rider|monk,4.3
Ghost Rider ,Mark Steven Johnson,110000000,PG-13,123,Nicolas Cage,Matt Long,Peter Fonda,115802596,Action|Fantasy|Thriller,blackheart|devil|father|ghost|mephistopheles,5.2
Ghost Town ,David Koepp,20000000,PG-13,102,Aasif Mandvi,Dequina Moore,Jordan Carlos,13214030,Comedy|Drama|Fantasy|Romance,bouquet of roses|bright light|cardiopulmonary resuscitation|ghost|white rose,6.7
Ghost ,Jerry Zucker,22000000,PG-13,127,Demi Moore,Tony Goldwyn,Phil Leeds,217631306,Drama|Fantasy|Romance|Thriller,death|film blanc|invisibility|love|unrequited love,7
Ghostbusters ,Paul Feig,144000000,PG-13,116,Ed Begley Jr.,Kate McKinnon,Zach Woods,118099659,Action|Comedy|Fantasy|Sci-Fi,ghost|ghostbuster|ghostbusters|male objectification|reboot,5.5
Ghosts of Mississippi ,Rob Reiner,36000000,PG-13,130,Alexa PenaVega,Virginia Madsen,Craig T. Nelson,13052741,Drama|History,activist|assassin|civil rights|trial|widow,6.7
Glitter ,Vondie Curtis-Hall,22000000,PG-13,104,Mariah Carey,Max Beesley,Valarie Pettiford,4273372,Drama|Music|Romance,cult film|disc jockey|female protagonist|music business|one word title,2.1
Go for It! ,Carmen Marron,2450000,PG-13,105,Jossara Jinaro,Aimee Garcia,Rene Rosado,178739,Drama|Musical,exclamation point in title|imperative in title|punctuation in title|three word title,3.9
Goal! The Dream Begins ,Danny Cannon,10000000,PG-13,118,Sean Pertwee,Kuno Becker,Stephen Dillane,4280577,Drama|Romance|Sport,barrio|border|newcastle united|party|soccer,6.8
Gods and Generals ,Ron Maxwell,56000000,PG-13,280,Billy Campbell,Bruce Boxleitner,John Castle,12870569,Drama|History|War,confederacy|hero|prequel|stonewall jackson|war hero,6.3
Gods of Egypt ,Alex Proyas,140000000,PG-13,126,Gerard Butler,Elodie Yung,Bryan Brown,31141074,Action|Adventure|Fantasy,ancient egypt|egypt|egyptian|egyptian god|egyptian goddess,5.5
Godsend ,Nick Hamm,25000000,PG-13,102,Robert De Niro,Cameron Bright,Munro Chambers,14334645,Drama|Horror|Sci-Fi|Thriller,birthday|boy|clone|cloning|doctor,4.8
Gone in Sixty Seconds ,Dominic Sena,90000000,PG-13,127,Nicolas Cage,Angelina Jolie Pitt,Robert Duvall,101643008,Action|Crime|Thriller,auto theft|brother|car|theft|thief,6.5
Gracie ,Davis Guggenheim,9000000,PG-13,95,Emma Bell,John Doman,Carly Schroeder,2955039,Biography|Drama|Sport,boy|girl|soccer|south orange new jersey|teenager,6.2
Grease ,Randal Kleiser,6000000,PG-13,110,Olivia Newton-John,Stockard Channing,Sid Caesar,181360000,Musical|Romance,automobile racing|boyfriend girlfriend relationship|high school|wrestling|year 1959,7.2
Green Lantern ,Martin Campbell,200000000,PG-13,123,Ryan Reynolds,Temuera Morrison,Taika Waititi,116593191,Action|Adventure|Sci-Fi,autopsy|lantern|planet|ring|test pilot,5.6
Gremlins 2: The New Batch ,Joe Dante,50000000,PG-13,106,Christopher Lee,Robert Picardo,Phoebe Cates,41482207,Comedy|Fantasy|Horror,gremlin|horror host|hulk hogan|monster|skyscraper,6.3
Gridiron Gang ,Phil Joanou,30000000,PG-13,125,Dwayne Johnson,Jurnee Smollett-Bell,Kevin Dunn,38432823,Crime|Drama|Sport,alliterative title|football|football coach|football practice|football team,6.9
Grown Ups 2 ,Dennis Dugan,80000000,PG-13,101,Steve Buscemi,Adam Sandler,Jon Lovitz,133668525,Comedy,belching|number in title|party|reference to nicki minaj|sneezing,5.4
Grown Ups ,Dennis Dugan,80000000,PG-13,102,Steve Buscemi,Adam Sandler,Salma Hayek,162001186,Comedy,basketball|coach|daughter|high school|high school basketball,6
Grudge Match ,Peter Segal,40000000,PG-13,113,Robert De Niro,Sylvester Stallone,Oscar Gale,29802761,Comedy|Sport,broke|promoter|retirement|trainer|training,6.4
Guardians of the Galaxy ,James Gunn,170000000,PG-13,121,Bradley Cooper,Vin Diesel,Djimon Hounsou,333130696,Action|Adventure|Sci-Fi,bounty hunter|outer space|raccoon|talking animal|tree,8.1
Guess Who ,Kevin Rodney Sullivan,35000000,PG-13,105,Bernie Mac,Nicole Sullivan,Sherri Shepherd,67962333,Comedy|Romance,argument|engagement|family relationships|love|undressing,5.9
Hackers ,Iain Softley,20000000,PG-13,107,Angelina Jolie Pitt,Fisher Stevens,Lorraine Bracco,7564000,Comedy|Crime|Drama|Thriller,computer|computer virus|cyberpunk|fight the system|sexual fantasy,6.2
Hancock ,Peter Berg,150000000,PG-13,102,Will Smith,Charlize Theron,Eddie Marsan,227946274,Action|Drama,bully comeuppance|destruction|prison|superhero|tough girl,6.4
Hanna ,Joe Wright,30000000,PG-13,111,Jessica Barden,Vicky Krieps,John Macmillan,40247512,Action|Drama|Thriller,assassin|female warrior|martial arts|playground|training,6.8
Happy Gilmore ,Dennis Dugan,12000000,PG-13,92,Adam Sandler,Kevin Nealon,Frances Bay,38624000,Comedy|Sport,golf|golf ball|golfer|grandmother's house|tournament,7
"Happy, Texas ",Mark Illsley,1700000,PG-13,98,Ally Walker,Illeana Douglas,Jeremy Northam,1943649,Comedy|Crime|Romance,banker|beauty pageant|escaped convict|gay|pageant,6.3
Hardball ,Brian Robbins,21000000,PG-13,106,Keanu Reeves,D.B. Sweeney,DeWayne Warren,40219708,Drama|Sport,coach|gambling|housing project|little league|little league baseball,6.3
Hardflip ,Johnny Remo,1000000,PG-13,112,Matthew Ziff,Randy Wayne,Raquel Elizabeth Ames,96734,Action|Drama,family relationships|loss of mother|san diego california|single mother|suicide attempt,5.6
Head of State ,Chris Rock,35200000,PG-13,95,Bernie Mac,Dylan Baker,Tracy Morgan,37788228,Comedy,alderman|party|president|presidential candidate|washington d.c.,5.4
Head Over Heels ,Mark Waters,14000000,PG-13,86,Monica Potter,Ivana Milicevic,China Chow,10397365,Comedy|Mystery|Romance,apartment|fast motion scene|model|private investigation|suspected murder,5.4
Heartbreakers ,David Mirkin,35000000,PG-13,123,Sarah Silverman,Anne Bancroft,Jeffrey Jones,40334024,Comedy|Crime|Romance,bank|infidelity|millionaire|money|scam,6.2
Hearts in Atlantis ,Scott Hicks,31000000,PG-13,101,Anthony Hopkins,Mika Boorem,Hope Davis,24185781,Drama|Mystery,based on multiple works|bully|kiss|memory|mysterious stranger,6.9
Held Up ,Steve Rash,8000000,PG-13,89,Barry Corbin,Nia Long,Jake Busey,4692814,Comedy,hold up|hostage|stockholm syndrome|swat team|vegetarian,5.1
Hellboy II: The Golden Army ,Guillermo del Toro,85000000,PG-13,120,Seth MacFarlane,Iván Kamarás,Brian Steele,75754670,Action|Adventure|Fantasy|Horror|Sci-Fi,creature|elf|prince|rebellion|superhero,7
Hellboy ,Guillermo del Toro,66000000,PG-13,132,James Babson,Rupert Evans,Brian Steele,59035104,Action|Fantasy|Horror|Sci-Fi,assassin|demon|hero|nazi|superhero,6.8
Hercules ,Brett Ratner,100000000,PG-13,101,Dwayne Johnson,Rufus Sewell,Ingrid Bolsø Berdal,72660029,Action|Adventure,army|greek mythology|hercules|king|mercenary,6
Hercules ,Brett Ratner,100000000,PG-13,101,Dwayne Johnson,Rufus Sewell,Ingrid Bolsø Berdal,72660029,Action|Adventure,army|greek mythology|hercules|king|mercenary,6
Here on Earth ,Mark Piznarski,15000000,PG-13,96,Bruce Greenwood,Chris Klein,Elaine Hendrix,10494147,Drama|Romance,diner|love|private school|school|small town,5.1
Hereafter ,Clint Eastwood,50000000,PG-13,129,Matt Damon,Jay Mohr,Cécile De France,32741596,Drama|Fantasy,death|france|near death experience|tsunami|twin brother,6.5
He's Just Not That Into You ,Ken Kwapis,40000000,PG-13,129,Carmen Perez,Sabrina Revelle,Sachiko Ishida,93952276,Comedy|Drama|Romance,advertising|bar|dating|lingerie slip|six word title,6.4
Hidalgo ,Joe Johnston,100000000,PG-13,136,J.K. Simmons,Viggo Mortensen,Peter Mensah,67286731,Action|Adventure|Western,arab|cowboy|horse|race|sheik,6.7
High Crimes ,Carl Franklin,42000000,PG-13,115,Morgan Freeman,Adam Scott,Bruce Davison,41543207,Crime|Drama|Mystery|Thriller,defense lawyer|lawyer|marine|murder|villager,6.3
Hitch ,Andy Tennant,70000000,PG-13,118,Will Smith,Michael Rapaport,Kevin Sussman,177575142,Comedy|Romance,advice|friendship|gossip|newspaper|quitting a job,6.6
Hollywood Ending ,Woody Allen,16000000,PG-13,112,Woody Allen,Debra Messing,Treat Williams,4839383,Comedy|Romance,blind|director|psychosomatic blindness|self deprecating|studio,6.6
Hollywood Homicide ,Ron Shelton,75000000,PG-13,116,Harrison Ford,Bruce Greenwood,Lena Olin,30013346,Action|Comedy|Crime|Thriller,audition|kissing while having sex|machismo|murder|sex,5.3
Home for the Holidays ,Jodie Foster,20000000,PG-13,103,Robert Downey Jr.,Holly Hunter,Steve Guttenberg,17518220,Comedy|Drama|Romance,dinner|gay interest|gay sibling|homosexual|thanksgiving,6.6
Home Fries ,Dean Parisot,15000000,PG-13,91,Catherine O'Hara,Jake Busey,Shelley Duvall,10443316,Comedy|Drama|Romance,baby|infidelity|pilot|pregnant|waitress,5
Home Run ,David Boyd,1200000,PG-13,113,Vivica A. Fox,Drew Waters,Scott Elrod,2859955,Drama|Sport,addiction|alcoholic|baseball|car accident|reference to god,6
Honey ,Bille Woodruff,25000000,PG-13,94,Christian Monzon,Mekhi Phifer,Romeo Miller,30222640,Drama|Music|Romance,choreographer|dance|dancer|dancing|hip hop,5.3
Hoop Dreams ,Steve James,700000,PG-13,170,William Gates,Arthur Agee,Isiah Thomas,7830611,Documentary|Drama|Sport,athlete|basketball|high school|high school student|school,8.3
Hope Floats ,Forest Whitaker,30000000,PG-13,114,Bill Cobbs,Harry Connick Jr.,Gena Rowlands,60033780,Drama|Romance,best friend|friend|mother daughter relationship|small town|texas,5.9
Hope Springs ,David Frankel,30000000,PG-13,100,Meryl Streep,Steve Carell,Jean Smart,63536011,Comedy|Drama|Romance,couple|intimacy|marriage|marriage counseling|middle age couple,6.3
Hot Pursuit ,Anne Fletcher,35000000,PG-13,87,Jim Gaffigan,Richard T. Jones,Michael Mosley,34507079,Action|Comedy|Crime,danger|drug cartel|female cop|female police officer|fugitive,5.1
House of D ,David Duchovny,6000000,PG-13,96,Robin Williams,Mark Margolis,Frank Langella,371081,Comedy|Drama,artist|butchery|catholic|catholic school|friend,7
How Do You Know ,James L. Brooks,120000000,PG-13,121,Shelley Conn,Domenick Lombardozzi,Teyonah Parris,30212620,Comedy|Drama|Romance,embarrassment|falling in love|love|love triangle|revelation,5.3
How to Deal ,Clare Kilner,16000000,PG-13,101,Dylan Baker,Alexandra Holden,Trent Ford,14108518,Comedy|Drama|Romance,best friend|high school|mother|sister|wedding,5.7
How to Lose a Guy in 10 Days ,Donald Petrie,50000000,PG-13,116,Matthew McConaughey,Adam Goldberg,Thomas Lennon,105807520,Comedy|Romance,advertising executive|diamond|magazine|party|wager,6.4
Hulk ,Ang Lee,137000000,PG-13,138,Kevin Rankin,Regi Davis,Celia Weston,132122995,Action|Sci-Fi,1980s|c 130 hercules|monster|panzer|san francisco california,5.7
I Am Legend ,Francis Lawrence,150000000,PG-13,104,Will Smith,Alice Braga,Willow Smith,256386216,Drama|Horror|Sci-Fi,new york city|pandemic|post apocalypse|survivalist|virus,7.2
I Am Number Four ,D.J. Caruso,60000000,PG-13,109,Alex Pettyfer,Emily Wickersham,Reuben Langdon,55092830,Action|Adventure|Sci-Fi|Thriller,based on young adult novel|good versus evil|guardian|human alien|ohio,6.1
I Am Sam ,Jessie Nelson,22000000,PG-13,132,Dianne Wiest,Loretta Devine,Richard Schiff,40270895,Drama,child custody|custody battle|disability|mentally impaired man|single father,7.6
I Can Do Bad All by Myself ,Tyler Perry,13000000,PG-13,113,Eric Mendenhall,Mary J. Blige,Hope Olaide Wilson,51697449,Comedy|Drama,aunt|immigrant|looting|love|nightclub singer,4.1
I Don't Know How She Does It ,Douglas McGrath,24000000,PG-13,89,Olivia Munn,Busy Philipps,Jessica Szohr,9639242,Comedy|Romance,black comedy|delivery boy|dinner|gym|punishment,4.9
I Dreamed of Africa ,Hugh Hudson,34000000,PG-13,114,Liam Aiken,Eva Marie Saint,Vincent Perez,6543194,Adventure|Drama|Romance,dream|italian|kenya|ranch|snake,5.6
I Spy ,Betty Thomas,70000000,PG-13,97,Gary Cole,Phill Lewis,Tate Taylor,33105600,Action|Adventure|Comedy|Thriller,boxer|espionage|spy|stealth|top secret,5.4
"I, Robot ",Alex Proyas,120000000,PG-13,115,Will Smith,Bruce Greenwood,Chi McBride,144795350,Action|Mystery|Sci-Fi|Thriller,humanoid robot|man versus machine|prosthetic limb|robot as pathos|robot vs. robot,7.1
If I Stay ,R.J. Cutler,11000000,PG-13,107,Chloë Grace Moretz,Mireille Enos,Stacy Keach,50461335,Drama|Fantasy|Music|Romance,car accident|coma|out of body experience|reference to the exploited|teenage girl,6.8
In & Out ,Frank Oz,35000000,PG-13,90,Tom Selleck,Wilford Brimley,Lauren Ambrose,63826569,Comedy,academy award|gay|high school|reporter|teacher,6.3
In Good Company ,Paul Weitz,26000000,PG-13,109,Scarlett Johansson,Ty Burrell,Dennis Quaid,45489752,Comedy|Drama|Romance,company|corporate takeover|executive|magazine|new boss,6.5
In the Heart of the Sea ,Ron Howard,100000000,PG-13,122,Chris Hemsworth,Benjamin Walker,Frank Dillane,24985612,Action|Adventure|Biography|Drama|History|Thriller,emaciation|ship|starvation|vomiting|whale,7
In the Land of Women ,Jon Kasdan,10000000,PG-13,97,Kristen Stewart,Elena Anaya,Dustin Milligan,11043445,Comedy|Drama|Romance,actress|love|michigan|neighbor|writer,6.5
In Time ,Andrew Niccol,40000000,PG-13,109,Matt Bomer,Olivia Wilde,Justin Timberlake,37553932,Action|Sci-Fi|Thriller,currency|future|murder|on the run|time,6.7
Inception ,Christopher Nolan,160000000,PG-13,148,Leonardo DiCaprio,Tom Hardy,Joseph Gordon-Levitt,292568851,Action|Adventure|Sci-Fi|Thriller,ambiguous ending|corporate espionage|dream|subconscious|thief,8.8
Independence Day: Resurgence ,Roland Emmerich,165000000,PG-13,120,Vivica A. Fox,Sela Ward,Judd Hirsch,102315545,Action|Adventure|Sci-Fi,alien|battle|defense|independence day|mothership,5.5
Independence Day ,Roland Emmerich,75000000,PG-13,154,Will Smith,Adam Baldwin,Mary McDonnell,306124059,Action|Adventure|Sci-Fi,alien|area 51|military|spacecraft|spaceship,6.9
Indiana Jones and the Kingdom of the Crystal Skull ,Steven Spielberg,185000000,PG-13,122,Harrison Ford,Ray Winstone,Jim Broadbent,317011114,Action|Adventure|Fantasy,cult figure|femme fatale|indiana jones|unsubtitled foreign language|year 1957,6.2
Indiana Jones and the Last Crusade ,Steven Spielberg,48000000,PG-13,127,Harrison Ford,Julian Glover,Alison Doody,197171806,Action|Adventure|Fantasy,castle|diary|holy grail|map|nazi,8.3
Insidious: Chapter 2 ,James Wan,5000000,PG-13,106,Lin Shaye,Barbara Hershey,Leigh Whannell,83574831,Fantasy|Horror|Thriller,barricading a door|injection in leg|police detective|supernatural|taser,6.6
Insidious ,James Wan,1500000,PG-13,103,Lin Shaye,Barbara Hershey,Philip Friedman,53991137,Fantasy|Horror|Mystery|Thriller,baby|boy|coma|demon|house,6.8
Insurgent ,Robert Schwentke,110000000,PG-13,119,Kate Winslet,Theo James,Mekhi Phifer,129995817,Adventure|Sci-Fi|Thriller,action heroine|falling from height|mind control|trainhopping|truth serum,6.3
Interstellar ,Christopher Nolan,165000000,PG-13,169,Matthew McConaughey,Anne Hathaway,Mackenzie Foy,187991439,Adventure|Drama|Sci-Fi,black hole|father daughter relationship|saving the world|space travel|wormhole,8.6
Into the Blue ,John Stockwell,50000000,PG-13,110,Paul Walker,James Frain,Ashley Scott,18472363,Action|Adventure|Crime|Thriller,bahamas|blood splatter|cocaine|hairy chest|shark,5.8
Into the Storm ,Steven Quale,50000000,PG-13,89,Matt Walsh,Alycia Debnam-Carey,Scott Lawrence,47553512,Action|Thriller,danger|graduation|storm|teenage boy|tornado,5.8
Intolerable Cruelty ,Joel Coen,60000000,PG-13,100,Cedric the Entertainer,Paul Adelstein,Julia Duffy,35096190,Comedy|Crime|Romance,attorney|divorce|marriage|real estate|screwball comedy,6.3
Invictus ,Clint Eastwood,60000000,PG-13,134,Matt Damon,Morgan Freeman,Leleti Khumalo,37479778,Biography|Drama|History|Sport,apartheid|nation|nelson mandela|president|rugby,7.4
Iron Man 2 ,Jon Favreau,200000000,PG-13,124,Robert Downey Jr.,Scarlett Johansson,Jon Favreau,312057433,Action|Adventure|Sci-Fi,hammer|military|monaco|revenge|tony stark,7
Iron Man 3 ,Shane Black,200000000,PG-13,195,Robert Downey Jr.,Jon Favreau,Don Cheadle,408992272,Action|Adventure|Sci-Fi,armor|explosion|human bomb|missile attack|terrorist,7.2
Iron Man ,Jon Favreau,140000000,PG-13,126,Robert Downey Jr.,Jeff Bridges,Jon Favreau,318298180,Action|Adventure|Sci-Fi,afghanistan|billionaire|inventor|playboy|u.s. air force,7.9
Ishtar ,Elaine May,51000000,PG-13,107,Carol Kane,Warren Beatty,Isabelle Adjani,14375181,Action|Adventure|Comedy|Music|Thriller,cia|emir|hotel|map|morocco,4.2
It's Kind of a Funny Story ,Anna Boden,8000000,PG-13,101,Zoë Kravitz,Jeremy Davies,Jim Gaffigan,6350058,Comedy|Drama|Romance,based on novel|depression|psychiatric ward|suicide attempt|therapy,7.2
Jack Reacher ,Christopher McQuarrie,60000000,PG-13,130,Tom Cruise,Robert Duvall,David Oyelowo,80033643,Action|Crime|Mystery|Thriller,coma|mysterious villain|police chase|shooting range|sniper,7
Jack Ryan: Shadow Recruit ,Kenneth Branagh,60000000,PG-13,105,Colm Feore,Nonso Anozie,Gemma Chan,50549107,Action|Drama|Thriller,covert analyst|marine|russian|spy|stock market,6.2
Jack the Giant Slayer ,Bryan Singer,195000000,PG-13,114,Eddie Marsan,Ewen Bremner,Ralph Brown,65171860,Adventure|Fantasy,bean|giant|king|no opening credits|princess,6.3
Jaws: The Revenge ,Joseph Sargent,23000000,PG-13,92,Judith Barsi,Mario Van Peebles,Lynn Whitfield,20763013,Adventure|Horror|Thriller,banana boat|boat|christmas|sea|shark,2.8
