movie_title,director_name,duration,actor_1_name,actor_2_name,actor_3_name,gross,genres,plot_keywords,language,country,content_rating,budget,imdb_score,aspect_ratio
The Big Tease ,Kevin Allen,86,Craig Ferguson,Frances Fisher,Mary McCormack,185577,Comedy,competition|fake documentary|hairdresser|nudity|reference to liberace,English,UK,R,4000000,6.3,1.85
The Borrowers ,Peter Hewitt,89,Jim Broadbent,Bradley Pierce,Mark Williams,22359293,Adventure|Comedy|Family|Fantasy,child's point of view|house|lawyer|real estate|washing machine,English,UK,PG,29000000,5.8,1.85
The Bounty ,Roger Donaldson,132,Liam Neeson,Anthony Hopkins,Laurence Olivier,8600000,Action|Adventure|Drama|History|Romance,lieutenant|lifeboat|mutiny|sailing ship|ship,English,UK,PG,25000000,7,2.35
The Boy in the Striped Pajamas ,Mark Herman,94,Richard Johnson,Sheila Hancock,Cara Horgan,9030581,Drama|War,boy|fence|jew|nazis|poison gas,English,UK,PG-13,12500000,7.8,1.85
The Bridge of San Luis Rey ,Mary McGuckian,120,Robert De Niro,F. Murray Abraham,Geraldine Chaplin,42880,Drama|Romance,bridge|friar|inquisition|peru|rope bridge,English,UK,PG,24000000,5.1,1.85
The Bridge on the River Kwai ,David Lean,161,William Holden,Sessue Hayakawa,Jack Hawkins,27200000,Adventure|Drama|War,allies|bridge|construction|jungle|sabotage,English,UK,PG,3000000,8.2,2.35
The Claim ,Michael Winterbottom,115,Milla Jovovich,Sarah Polley,Shirley Henderson,403932,Drama|Romance|Western,gold|gold mine|miner|railroad|surveyor,English,UK,R,20000000,6.5,2.35
The Constant Gardener ,Fernando Meirelles,129,Archie Panjabi,Danny Huston,Donald Sumpter,33565375,Drama|Mystery|Romance|Thriller,death|diplomat|doctor|kenya|murder,English,UK,R,15000000,7.5,1.85
The Count of Monte Cristo ,Kevin Reynolds,131,Henry Cavill,James Frain,Michael Wincott,54228104,Action|Adventure|Drama|Romance|Thriller,count|escape|island|revenge|sailor,English,UK,PG-13,35000000,7.7,1.85
The Crying Game ,Neil Jordan,112,Jim Broadbent,Miranda Richardson,Stephen Rea,62549000,Crime|Drama|Romance|Thriller,androgynous|full frontal male nudity|irish republican army|psychological drama|tragic love,English,UK,R,2300000,7.3,2.35
The Curse of the Were-Rabbit ,Steve Box,85,Mark Gatiss,Geraldine McEwan,Peter Sallis,56068547,Animation|Comedy|Family|Mystery|Sci-Fi,competition|giant vegetable|pest control|stop motion animation|vegetable,English,UK,G,30000000,7.5,1.85
The Damned United ,Tom Hooper,98,Stephen Graham,Mark Bazeley,Maurice Roëves,449558,Biography|Drama|Sport,cup|derby county|flashback|football|leeds united,English,UK,R,10000000,7.6,1.85
The Descent ,Neil Marshall,100,MyAnna Buring,Shauna Macdonald,Craig Conway,26005908,Adventure|Horror|Thriller,cave|expedition|friendship between women|group of friends|survival horror,English,UK,R,3500000,7.2,2.35
The Duchess ,Saul Dibb,110,Dominic Cooper,Hayley Atwell,Charlotte Rampling,13823741,Biography|Drama|History|Romance,duchess|duke|heir|infidelity|marriage,English,UK,PG-13,13500000,6.9,2.35
The East ,Zal Batmanglij,116,Alexander Skarsgård,Julia Ormond,Jason Ritter,2268296,Drama|Thriller,anarchist|corporation|greedy institution|vomiting|watching television,English,UK,PG-13,6500000,6.9,2.35
The End of the Affair ,Neil Jordan,102,Stephen Rea,Ian Hart,James Bolam,10660147,Drama|Romance,breasts|jealousy|obsession|sex scene|spiritual,English,UK,R,23000000,7.2,1.85
The Four Feathers ,Shekhar Kapur,125,Djimon Hounsou,Lucy Gordon,Alex Jennings,18306166,Adventure|Drama|Romance|War,male nudity|naked dead man|nudity|sex|whipping,English,UK,PG-13,35000000,6.5,2.35
The Full Monty ,Peter Cattaneo,91,Tom Wilkinson,Mark Addy,Lesley Sharp,45857453,Comedy|Drama|Music,dole|male stripper|northern england|steel worker|unemployment,English,UK,R,3500000,7.2,1.85
The Full Monty ,Peter Cattaneo,91,Tom Wilkinson,Mark Addy,Lesley Sharp,45857453,Comedy|Drama|Music,dole|male stripper|northern england|steel worker|unemployment,English,UK,R,3500000,7.2,1.85
The Guru ,Daisy von Scherler Mayer,94,Michael McKean,Dash Mihok,Jimi Mistry,3034181,Comedy|Music|Romance,bollywood|illegal immigrant|live television|restaurant|waiter,English,UK,R,11000000,5.4,1.85
The Heart of Me ,Thaddeus O'Sullivan,96,Olivia Williams,Luke Newberry,Eleanor Bron,196067,Drama|Romance,1930s|car accident|hospital|marital rape|painter,English,UK,R,7000000,6.7,1.85
The History Boys ,Nicholas Hytner,109,Dominic Cooper,Russell Tovey,James Corden,2706659,Comedy|Drama,gay|headmaster|oxford|school|teacher,English,UK,R,2000000,6.9,1.85
The Hotel New Hampshire ,Tony Richardson,109,Joely Richardson,Beau Bridges,Nastassja Kinski,5100000,Comedy|Drama|Romance,football|hotel|teenage girl|terrorist|wien,English,UK,R,7500000,6,1.85
The House of Mirth ,Terence Davies,135,Eric Stoltz,Anthony LaPaglia,Elizabeth McGovern,3041803,Drama|Romance,high society|love|money|reputation|wealth,English,UK,PG,10000000,7.1,2.35
The Hudsucker Proxy ,Joel Coen,111,Jennifer Jason Leigh,Bill Cobbs,John Mahoney,2869369,Comedy|Fantasy,art deco|board of directors|industry|mail|stock,English,UK,PG,30000000,7.3,1.85
The Imaginarium of Doctor Parnassus ,Terry Gilliam,123,Andrew Garfield,Lily Cole,Verne Troyer,7689458,Adventure|Fantasy|Mystery,birthday|bridge|midget|rescue|sideshow,English,UK,PG-13,40000000,6.8,1.85
The Imitation Game ,Morten Tyldum,114,Benedict Cumberbatch,Rory Kinnear,Allen Leech,91121452,Biography|Drama|Thriller|War,crossword puzzle|cryptography|enigma code|gay lead character|world war two,English,UK,PG-13,14000000,8.1,2.35
The Importance of Being Earnest ,Oliver Parker,97,Colin Firth,Tom Wilkinson,Rupert Everett,8378141,Comedy|Drama|Romance,comedy of manners|false identity|farce|love|period drama,English,UK,PG,15000000,6.9,2.35
The Infiltrator ,Brad Furman,127,Joseph Gilgun,Amy Ryan,Olympia Dukakis,14946229,Biography|Crime|Drama|Thriller,,English,UK,R,25000000,7.3,2.35
The Interpreter ,Sydney Pollack,128,Curtiss Cook,George Harris,Michael Wright,72515360,Crime|Mystery|Thriller,african|assassination|dialect|interpreter|threat,Aboriginal,UK,PG-13,80000000,6.4,2.35
The Iron Lady ,Phyllida Lloyd,105,Meryl Streep,Jim Broadbent,Olivia Colman,29959436,Biography|Drama|History,british prime minister|female prime minister|politics|prime minister|told in flashback,English,UK,PG-13,13000000,6.4,2.35
The Jungle Book ,Jon Favreau,106,Scarlett Johansson,Bill Murray,Garry Shandling,362645141,Adventure|Drama|Family|Fantasy,fire|jungle|remake|tiger|wolf,English,UK,PG,175000000,7.8,1.85
The King's Speech ,Tom Hooper,118,Colin Firth,Jennifer Ehle,Derek Jacobi,138795342,Biography|Drama|History|Romance,king|king george vi|speech|speech therapist|throne,English,UK,R,15000000,8,1.85
The Last Days on Mars ,Ruairi Robinson,98,Romola Garai,Olivia Williams,Tom Cullen,23838,Horror|Sci-Fi|Thriller,alien infection|astronaut|mars|mission|zombie,English,UK,R,7000000,5.5,2.35
The Last King of Scotland ,Kevin Macdonald,121,David Oyelowo,Simon McBurney,Abby Mukiibi Nkaaga,17605861,Biography|Drama|History|Thriller,1970s|assassination|doctor|scottish|ugandan,English,UK,R,6000000,7.7,2.35
The Last Legion ,Doug Lefler,102,Colin Firth,Nonso Anozie,Owen Teale,5932060,Action|Adventure|Fantasy|War,5th century|boy|capri|roman legion|soldier,English,UK,PG-13,35000000,5.4,2.35
The Lawnmower Man ,Brett Leonard,140,Jeff Fahey,Austin O'Brien,Troy Evans,32101000,Horror|Sci-Fi,intelligence|science runs amok|scientist|supernatural power|virtual reality,English,UK,R,10000000,5.4,1.85
The Living Daylights ,John Glen,130,Joe Don Baker,Desmond Llewelyn,Art Malik,51185897,Action|Adventure|Thriller,british agent|defection|escape|kgb|soviet general,English,UK,PG,30000000,6.7,2.35
The Man with the Golden Gun ,Guy Hamilton,125,Christopher Lee,Hervé Villechaize,Desmond Llewelyn,21000000,Action|Adventure|Thriller,assassin|bikini|girl in a bikini|mission|secret agent,English,UK,PG,13000000,6.8,1.66
The Nutcracker in 3D ,Andrey Konchalovskiy,110,Shirley Henderson,Nathan Lane,Richard E. Grant,190562,Action|Family|Fantasy|Musical,box office flop|christmas|christmas eve|critically bashed|toy comes to life,English,UK,PG,90000000,4.4,2.35
The Other Boleyn Girl ,Justin Chadwick,115,Natalie Portman,Scarlett Johansson,Benedict Cumberbatch,26814957,Biography|Drama|History|Romance,children|court|king|king henry viii|love,English,UK,PG-13,35000000,6.7,1.85
The Other End of the Line ,James Dodson,106,Larry Miller,Anupam Kher,Shriya Saran,115504,Comedy|Drama|Romance,birthday|call center|fiance|hotel|indian,English,UK,PG-13,14000000,6.2,2.35
The Phantom of the Opera ,Joel Schumacher,143,Gerard Butler,Minnie Driver,Miranda Richardson,51225796,Drama|Musical|Romance|Thriller,based on stage musical based on novel|disfigurement|mask|opera|singer,English,UK,PG-13,70000000,7.4,2.35
The Pirates! Band of Misfits ,Peter Lord,88,Salma Hayek,Russell Tovey,Brian Blessed,31051126,Adventure|Animation|Comedy|Family,charles darwin|cutlass|pirate|queen victoria|scientist,English,UK,PG,55000000,6.7,2.35
The Princess and the Cobbler ,Richard Williams,80,Donald Pleasence,Kenneth Williams,Clive Revill,669276,Action|Adventure|Animation|Comedy|Fantasy,cobbler|desert|gold|princess|thief,English,UK,G,28000000,7.2,2.35
The Queen ,Stephen Frears,94,Roger Allam,Sylvia Syms,Alex Jennings,56437947,Biography|Drama,monarchy|prime minister|princess diana|queen|speech,English,UK,PG-13,9800000,7.3,1.85
The Quiet American ,Phillip Noyce,101,Brendan Fraser,Tzi Ma,Holmes Osborne,12987647,Drama|Mystery|Romance|Thriller|War,american|french|saigon|vietnam|vietnamese,English,UK,R,30000000,7.1,2.35
The Relic ,Peter Hyams,110,John Kapelos,Penelope Ann Miller,Chi Muoi Lo,33927476,Horror|Mystery|Sci-Fi|Thriller,fire|helicopter|museum|police sergeant|relic,English,UK,R,40000000,5.7,2.35
The Remains of the Day ,James Ivory,134,Anthony Hopkins,Peter Vaughan,Ben Chaplin,22954968,Drama|Romance,butler|housekeeper|manor|servant|service,English,UK,PG,11500000,7.9,2.35
The Second Best Exotic Marigold Hotel ,John Madden,122,Tina Desai,Celia Imrie,Ronald Pickup,33071558,Comedy|Drama,sequel,English,UK,PG,10000000,6.6,2.35
The Soloist ,Joe Wright,117,Robert Downey Jr.,Stephen Root,Rachael Harris,31670931,Biography|Drama|Music,columnist|journalist|los angeles times|musician|wearing a traffic cone as a hat,English,UK,PG-13,60000000,6.7,2.35
The Spy Who Loved Me ,Lewis Gilbert,123,Caroline Munro,Desmond Llewelyn,Barbara Bach,46800000,Action|Adventure|Sci-Fi|Thriller,1970s|cult film|official james bond series|submarine|world war three,English,UK,PG,14000000,7.1,2.35
The Sweeney ,Nick Love,112,Hayley Atwell,Ray Winstone,Alan Ford,26345,Action|Crime|Drama,bank|criminal|detective|flying squad|policewoman,English,UK,R,3000000,6.1,2.35
The Tale of Despereaux ,Sam Fell,93,Emma Watson,Matthew Broderick,Frank Langella,50818750,Adventure|Animation|Comedy|Family|Fantasy,book|darkness|dungeon|princess|rat,English,UK,G,60000000,6.1,2.35
The Terminator ,James Cameron,107,Michael Biehn,Brian Thompson,Paul Winfield,38400000,Action|Sci-Fi,cyborg|future war|robot|shootout in a police station|urban setting,English,UK,R,6500000,8.1,1.85
The Theory of Everything ,James Marsh,123,Eddie Redmayne,Emily Watson,Simon McBurney,35887263,Biography|Drama|Romance,based on memoir|cambridge university|husband wife relationship|lou gehrig's disease|physicist,English,UK,PG-13,15000000,7.7,2.35
The White Countess ,James Ivory,135,Vanessa Redgrave,Natasha Richardson,Lynn Redgrave,1666262,Drama|History|Romance|War,countess|diplomat|japanese|russian|shanghai,English,UK,PG-13,16000000,6.7,1.66
The Woman in Black ,James Watkins,95,Daniel Radcliffe,Roger Allam,Jessica Raine,54322273,Drama|Fantasy|Horror|Thriller,afterlife|baby boy|bird in a cage|ghost|reunited family,English,UK,PG-13,17000000,6.4,2.35
The World Is Not Enough ,Michael Apted,128,Colin Salmon,Maria Grazia Cucinotta,Desmond Llewelyn,126930660,Action|Adventure|Thriller,british|oil|scientist|terrorist|tycoon,English,UK,PG-13,135000000,6.4,2.35
The World's End ,Edgar Wright,109,Michael Smiley,Thomas Law,Jasper Levine,26003149,Action|Comedy|Sci-Fi,alcoholic|doppelganger|group therapy|self mutilation|twin actresses for twin sisters,English,UK,R,20000000,7,2.35
The Young Victoria ,Jean-Marc Vallée,100,Michiel Huisman,Jim Broadbent,Thomas Kretschmann,10991381,Biography|Drama|History|Romance,19th century|courtship|female protagonist|princess|queen of england,English,UK,PG,35000000,7.3,2.35
This Is England ,Shane Meadows,101,Stephen Graham,Joseph Gilgun,Jack O'Connell,327919,Crime|Drama,england|racism|racist|skinhead|violence,English,UK,Unrated,1500000,7.7,1.85
Thomas and the Magic Railroad ,Britt Allcroft,85,Mara Wilson,Colm Feore,Peter Fonda,15911333,Adventure|Comedy|Drama|Family|Fantasy,locomotive|magic|mountain|railroad|steam locomotive,English,UK,G,19000000,3.6,1.85
Thunderball ,Terence Young,130,Desmond Llewelyn,Earl Cameron,Lois Maxwell,63600000,Action|Adventure|Thriller,domino|fiery redhead|nassau|official james bond series|underwater battle,English,UK,PG,9000000,7,2.35
Thunderbirds ,Jonathan Frakes,95,Sophia Myles,Philip Winchester,Brady Corbet,6768055,Action|Adventure|Comedy|Family|Sci-Fi,astronaut|island|lady penelope|rescue|the hood,English,UK,PG,57000000,4.2,1.85
Time Bandits ,Terry Gilliam,103,Shelley Duvall,Michael Palin,Kenny Baker,42365600,Adventure|Comedy|Fantasy|Sci-Fi,cult director|dwarf|robin hood|satire|treasure,English,UK,PG,5000000,7,1.85
Tomorrow Never Dies ,Roger Spottiswoode,119,Vincent Schiavelli,Colin Salmon,Joe Don Baker,125332007,Action|Adventure|Thriller,ex boyfriend ex girlfriend relationship|media tycoon|megalomaniac|official james bond series|world war three,English,UK,PG-13,110000000,6.5,2.35
Topsy-Turvy ,Mike Leigh,154,Jim Broadbent,Dexter Fletcher,Lesley Manville,6201757,Biography|Comedy|Drama|History|Music|Musical,19th century|exhibition|gilbert and sullivan|gilbert and sullivan's princess ida|japanese,English,UK,R,10000000,7.4,1.66
Trainspotting ,Danny Boyle,94,Kelly Macdonald,Shirley Henderson,Ewen Bremner,16501785,Drama,drug culture|drugs|filthy toilet|heroin addict|heroin withdrawal,English,UK,R,3500000,8.2,1.85
Trance ,Danny Boyle,101,Rosario Dawson,Spencer Wilding,Tuppence Middleton,2319187,Crime|Drama|Mystery|Thriller,amnesia|criminal|heist|hypnotherapy|lost painting,English,UK,R,20000000,7,2.35
Transcendence ,Wally Pfister,119,Johnny Depp,Morgan Freeman,Clifton Collins Jr.,23014504,Drama|Mystery|Romance|Sci-Fi|Thriller,artificial intelligence|consciousness|power outage|scientist|technology,English,UK,PG-13,100000000,6.3,2.35
Tristram Shandy: A Cock and Bull Story ,Michael Winterbottom,94,Steve Coogan,Shirley Henderson,Dylan Moran,1247453,Comedy|Drama,actor playing himself|battle|boots|penis|womb,English,UK,R,2800000,6.8,2.35
Tsotsi ,Gavin Hood,94,Terry Pheto,Nambitha Mpumlwana,Rapulana Seiphemo,2912363,Crime|Drama,baby|bathing a baby|criminal|slum|vomiting,Zulu,UK,R,3000000,7.3,2.35
Underworld ,Len Wiseman,133,Sophia Myles,Kevin Grevioux,Shane Brolly,51483949,Action|Fantasy|Thriller,blood|death|hybrid|vampire|werewolf,English,UK,R,22000000,7,2.35
Unknown ,Jaume Collet-Serra,113,Liam Neeson,Frank Langella,Aidan Quinn,61094903,Action|Mystery|Thriller,agriculture|airport|amnesia|nurse|scientist,English,UK,PG-13,30000000,6.9,2.35
Valiant ,Gary Chapman,76,Jim Broadbent,Olivia Williams,Pip Torrens,19447478,Adventure|Animation|Comedy|Family|War,dove|falcon|nursing|pigeon|psychological torture,English,UK,G,35000000,5.6,1.85
Vera Drake ,Mike Leigh,125,Eddie Marsan,Sally Hawkins,Imelda Staunton,3753806,Crime|Drama,1950s|miscarriage|neighbor|pregnancy|tailor,English,UK,R,11000000,7.7,1.85
Wah-Wah ,Richard E. Grant,97,Emily Watson,Julie Walters,Miranda Richardson,233103,Drama,alcoholic|alcoholic father|stepmother|swaziland|unfaithful wife,English,UK,R,7000000,6.9,2.35
Waking Ned Devine ,Kirk Jones,91,James Nesbitt,David Kelly,Fionnula Flanagan,24788807,Comedy,dead body|death|lottery|small town|village,English,UK,PG,3000000,7.4,2.35
Walking and Talking ,Nicole Holofcener,86,Kevin Corrigan,Anne Heche,Vincent Pastore,1277257,Comedy|Drama|Romance,briefs|cancer|cat|cult film|friend,English,UK,R,1000000,6.8,1.85
We Are Your Friends ,Max Joseph,96,Vanessa Lengies,Emily Ratajkowski,Jonny Weston,3590010,Drama|Music|Romance,box office flop|critically bashed|male objectification|narcissism|wannabe dj,English,UK,R,2000000,6.1,1.85
We Need to Talk About Kevin ,Lynne Ramsay,112,Ezra Miller,Siobhan Fallon Hogan,Ashley Gerasimovich,1738692,Drama|Thriller,archery|defiance|mental illness|psychopath|toilet training,English,UK,R,7000000,7.5,2.35
Weekend ,Andrew Haigh,97,Tom Cullen,Chris New,Vauxhall Jermaine,469947,Drama|Romance,coming out|fellatio|male in bathtub|male nudity|nudity,English,UK,Not Rated,120000,7.7,1.85
When Did You Last See Your Father? ,Anand Tucker,92,Colin Firth,Jim Broadbent,Gina McKee,1071240,Biography|Drama,cancer|children|death|terminal cancer|time,English,UK,PG-13,8000000,6.9,2.35
White Noise ,Geoffrey Sax,101,Deborah Kara Unger,Keegan Connor Tracy,Mike Dopud,55865715,Drama|Horror|Mystery|Thriller,architect|grave|obsession|river|voice,English,UK,PG-13,10000000,5.5,2.35
Wild Target ,Jonathan Lynn,98,Rupert Grint,Rupert Everett,Geoff Bell,117190,Action|Comedy|Crime,apprentice|assassin|hitman|kleptomaniac|thief,English,UK,PG-13,8000000,6.9,2.35
Wimbledon ,Richard Loncraine,98,Kirsten Dunst,Jon Favreau,Austin Nichols,16831505,Comedy|Romance|Sport,career|player|tennis|tennis player|wimbledon,English,UK,PG-13,31000000,6.3,2.35
Witchboard ,Kevin Tenney,98,Kathleen Wilhoite,Tawny Kitaen,Rose Marie,7369373,Horror|Mystery|Thriller,evil spirit|hatchet|ouija|ouija board|psychopathic killer,English,UK,R,2000000,5.7,1.85
Woman in Gold ,Simon Curtis,109,Ryan Reynolds,Frances Fisher,Elizabeth McGovern,33305037,Biography|Drama|History,art|jewish|justice|nazi|theft,English,UK,PG-13,11000000,7.3,2.35
Yentl ,Barbra Streisand,132,Miriam Margolyes,Amy Irving,Steven Hill,30400000,Drama|Musical|Romance,love|study|talmud|wedding|yeshiva,English,UK,PG,12000000,6.6,1.85
Yes ,Sally Potter,100,Shirley Henderson,Joan Allen,Stephanie Leonidas,396035,Drama|Romance,beach|lebanese|loss|muslim|restaurant,English,UK,R,1000000,6.9,1.85
You Only Live Twice ,Lewis Gilbert,117,Donald Pleasence,Burt Kwouk,Desmond Llewelyn,43100000,Action|Adventure|Thriller,faked death|japan|japanese|poison|secret headquarters,English,UK,PG,9500000,6.9,2.35
10 Cloverfield Lane ,Dan Trachtenberg,104,Bradley Cooper,John Gallagher Jr.,Sumalee Montano,71897215,Drama|Horror|Mystery|Sci-Fi|Thriller,alien|bunker|car crash|kidnapping|minimal cast,English,USA,PG-13,15000000,7.3,2.35
10 Days in a Madhouse ,Timothy Hines,111,Christopher Lambert,Kelly LeBrock,Alexandra Callas,14616,Drama,,English,USA,R,12000000,7.5,1.85
10 Things I Hate About You ,Gil Junger,97,Joseph Gordon-Levitt,Heath Ledger,Andrew Keegan,38176108,Comedy|Drama|Romance,dating|protective father|school|shrew|teen movie,English,USA,PG-13,16000000,7.2,1.85
102 Dalmatians ,Kevin Lima,100,Ioan Gruffudd,Eric Idle,Jim Carter,66941559,Adventure|Comedy|Family,dog|parole|parole officer|prison|puppy,English,USA,G,85000000,4.8,1.85
10th & Wolf ,Robert Moresco,107,Brian Dennehy,Brad Renfro,Dash Mihok,53481,Crime|Drama|Thriller,desert storm|fbi|fbi agent|fragmentation grenade|woman kills attacker,English,USA,R,8000000,6.4,2.35
12 Rounds ,Renny Harlin,108,Taylor Cole,Ashley Scott,Nick Gomez,12232937,Action|Crime|Thriller,2000s|detective|sadist|terrorism|terrorist,English,USA,PG-13,22000000,5.6,2.35
12 Years a Slave ,Steve McQueen,134,Quvenzhané Wallis,Scoot McNairy,Taran Killam,56667870,Biography|Drama|History,racism|separation from family|social injustice|torture|whipping,English,USA,R,20000000,8.1,2.35
127 Hours ,Danny Boyle,94,James Franco,Treat Williams,Kate Burton,18329466,Adventure|Biography|Drama|Thriller,alone|aron ralston|based on autobiography|canyon|survival,English,USA,R,18000000,7.6,1.85
13 Going on 30 ,Gary Winick,98,Jennifer Garner,Judy Greer,Christa B. Allen,56044241,Comedy|Fantasy|Romance,13 year old|13th birthday|30 year old|wish|year 1987,English,USA,PG-13,37000000,6.1,1.85
13 Hours ,Michael Bay,144,Toby Stephens,James Badge Dale,David Costabile,52822418,Action|Drama|Thriller|War,based on true story|cia agent|libya|mercenary|u.s. ambassador,English,USA,R,50000000,7.4,2.35
1408 ,Mikael Håfström,114,Drew Powell,Kim Thomson,Alexandra Silber,71975611,Fantasy|Horror,book|debunking|evil|hotel|paranormal phenomena,English,USA,PG-13,25000000,6.8,2.35
15 Minutes ,John Herzfeld,120,Robert De Niro,Charlize Theron,Kelsey Grammer,24375436,Action|Crime|Drama|Thriller,criminal|detective|fire|homicide|media,English,USA,R,42000000,6.1,2.35
17 Again ,Burr Steers,102,Matthew Perry,Hunter Parrish,Thomas Lennon,64149837,Comedy|Drama|Family|Fantasy|Romance,adult as child|father son relationship|high school student|janitor|school,English,USA,PG-13,20000000,6.4,2.35
2 Fast 2 Furious ,John Singleton,107,Paul Walker,Cole Hauser,Mo Gallini,127083765,Action|Crime|Thriller,bust|racing|shotgun|street racing|undercover agent,English,USA,PG-13,76000000,5.9,2.35
2 Guns ,Baltasar Kormákur,109,Denzel Washington,Patrick Fischler,Fred Ward,75573300,Action|Comedy|Crime|Drama|Thriller,close up of breasts|female nudity|fugitive|money|undercover,English,USA,R,61000000,6.7,2.35
20 Dates ,Myles Berkowitz,87,Tia Carrere,Tom Ardavany,Robert McKee,536767,Biography|Comedy|Romance,fake documentary|hidden camera|mockumentary|narrative|reality show,English,USA,R,60000,5.3,1.85
20 Feet from Stardom ,Morgan Neville,91,Sheryl Crow,Lou Adler,Merry Clayton,4946250,Documentary|Music,backup singer|band|bechdel test passed|concert footage|singer,English,USA,PG-13,1000000,7.4,1.78
200 Cigarettes ,Risa Bramon Garcia,101,Janeane Garofalo,Dave Chappelle,Gaby Hoffmann,6851636,Comedy|Drama|Romance,bartender|friend|new year's eve|party|punk,English,USA,R,6000000,5.9,1.85
2012 ,Roland Emmerich,158,Oliver Platt,Liam James,Tom McCarthy,166112167,Action|Adventure|Sci-Fi,ark|catastrophe|geologist|president|writer,English,USA,PG-13,200000000,5.8,2.35
2016: Obama's America ,Dinesh D'Souza,87,Barack Obama,Zackary Steven Graham,Dinesh D'Souza,33349949,Documentary,critically bashed|partisan commentary|political propoganda|punctuation in title|reenactment,English,USA,PG,2500000,5.1,1.85
21 & Over ,Jon Lucas,93,Justin Chon,Josie Loren,Sarah Wright,25675765,Comedy,21st birthday|college student|drunken man|pubic hair|standing up to father,English,USA,R,13000000,5.9,2.35
21 Grams ,Alejandro G. Iñárritu,124,Naomi Watts,Eddie Marsan,Danny Huston,16248701,Drama,accident|faith|love|mathematician|nonlinear timeline,English,USA,R,20000000,7.7,1.85
21 Jump Street ,Phil Lord,109,Channing Tatum,Dax Flame,Rob Riggle,138447667,Action|Comedy|Crime,narcotics|parody|police|remake|undercover cop,English,USA,R,42000000,7.2,2.35
21 ,Robert Luketic,123,Kevin Spacey,Jim Sturgess,Josh Gad,81159365,Crime|Drama|Thriller,based on true story|blackjack|card counting|gambling|massachusetts institute of technology,English,USA,PG-13,35000000,6.8,2.35
22 Jump Street ,Phil Lord,112,Channing Tatum,Craig Roberts,Amber Stevens West,191616238,Action|Comedy|Crime,college|drugs|hidden camera|tattoo|undercover,English,USA,R,50000000,7.1,2.35
25th Hour ,Spike Lee,108,Philip Seymour Hoffman,Rosario Dawson,Aaron Stanford,13060843,Drama,bar|dream|drug dealing|nightclub|widower,English,USA,R,15000000,7.7,2.35
27 Dresses ,Anne Fletcher,111,Judy Greer,Bern Cohen,Yetta Gottesman,76806312,Comedy|Romance,boss|bridesmaid|friend|love|wedding,English,USA,PG-13,30000000,6.1,2.35
28 Days ,Betty Thomas,103,Steve Buscemi,Viggo Mortensen,Elizabeth Perkins,37035515,Comedy|Drama,12 step program|box office hit|car accident|vomiting|wedding,English,USA,PG-13,43000000,6,1.37
3 Days to Kill ,McG,123,Connie Nielsen,Richard Sammel,Tómas Lemarquis,30688364,Action|Drama|Thriller,cancer|estranged wife|leather dress|spy|terrorist,English,USA,PG-13,28000000,6.2,2.35
3 Men and a Baby ,Leonard Nimoy,102,Tom Selleck,Ted Danson,Steve Guttenberg,167780960,Comedy|Drama|Family,1980s|baby|heroin|package|questioned by police,English,USA,PG,11000000,5.9,1.85
3 Ninjas Kick Back ,Charles T. Kanganis,93,Victor Wong,Dustin Nguyen,Don Stark,11784000,Action|Comedy|Family,1990s|dagger|japan|mousetrap|stick fight,English,USA,PG,20000000,4.3,1.85
3 Strikes ,DJ Pooh,82,Mo'Nique,Mike Epps,Faizon Love,9821335,Comedy,adult diaper|diaper|digit in title|dream|sawed off shotgun,English,USA,R,6000000,4,1.85
3:10 to Yuma ,James Mangold,122,Christian Bale,Logan Lerman,Gretchen Mol,53574088,Adventure|Crime|Drama|Western,outlaw|rancher|small western town|stagecoach|train,English,USA,R,55000000,7.8,2.35
30 Days of Night ,David Slade,113,Danny Huston,Mark Rendall,Megan Franich,39568996,Horror,alaska|small town|snow|vampire|winter,English,USA,R,32000000,6.6,2.35
300: Rise of an Empire ,Noam Murro,102,Eva Green,Sullivan Stapleton,Peter Mensah,106369117,Action|Drama|Fantasy|War,army|commander|female rear nudity|greek|navy,English,USA,R,110000000,6.2,2.35
3000 Miles to Graceland ,Demian Lichtenstein,125,Jon Lovitz,Bokeem Woodbine,Ice-T,15738632,Action|Comedy|Crime|Thriller,casino|elvis impersonator|gun|heist|rascal,English,USA,R,42000000,5.9,2.35
300 ,Zack Snyder,117,Gerard Butler,Michael Fassbender,Vincent Regan,210592590,Action|Drama|Fantasy|War,battle|epic|greece|spartan|warrior,English,USA,R,65000000,7.7,2.35
40 Days and 40 Nights ,Michael Lehmann,96,Emmanuelle Vaugier,Vinessa Shaw,Paulo Costanzo,37939782,Comedy|Romance,female on male rape|lent|male rear nudity|masturbation|sex,English,USA,R,17000000,5.6,1.85
42 ,Brian Helgeland,128,Harrison Ford,Christopher Meloni,Nicole Beharie,95001343,Biography|Drama|Sport,baseball|baseball player|brooklyn dodgers|major league baseball|racism,English,USA,PG-13,40000000,7.5,2.35
42nd Street ,Lloyd Bacon,89,Ginger Rogers,Dick Powell,George Brent,2300000,Comedy|Musical|Romance,chorus girl|chorus line|director|gala premiere|song,English,USA,Unrated,439000,7.7,1.37
47 Ronin ,Carl Rinsch,128,Keanu Reeves,Cary-Hiroyuki Tagawa,Jin Akanishi,38297305,Action|Adventure|Drama|Fantasy,box office flop|ronin|samurai|shogun|tournament,English,USA,PG-13,175000000,6.3,2.35
